n, "Patrick", "Miles", "Sally"
6, 3441, 9654, 2276
20, 4290, 17762, 8416
30, 5583, 11388, 12344
40, 6436, 7727, 19038
50, 7294, 10550, 11935
60, 8918, 18630, 22941
70, 9774, 14557, 19920
80, 10635, 28780, 17552
90, 11495, 22757, 23124
100, 13616, 22668, 17530
